n_robots,mean_len,total_len,operation_time,total_time
1,7.93,7.93,51.8,51.8
2,7.39,14.79,51.7,99.8
3,7.53,22.58,51.8,153.3
4,7.42,29.69,51.4,199.86
5,7.49,37.45,57.62,264.53
6,7.18,43.11,57.19,300.45
7,6.87,48.06,58.58,364.29
8,6.87,54.96,72.35,445.79
9,6.96,62.65,68.08,537.66
10,7.08,70.85,79.98,649.53
11,6.8,74.76,71.44,625.89
12,7.27,87.23,80.63,730.72
13,7.3,94.86,79.79,830.25
14,7.09,99.29,94.02,945.81
15,7.04,105.64,88.74,919.17
