test,version,n_robots,mean_len,total_len,operation_time,total_time
,,,,,,
1.0,1.0,8.0,5.44,43.5,51.01,334.04
2.0,1.0,8.0,5.19,41.5,68.94,316.27
3.0,1.0,8.0,5.91,47.31,50.37,325.51
4.0,1.0,8.0,5.13,41.0,49.0,258.59
5.0,1.0,8.0,5.6,44.81,50.95,343.5
6.0,1.0,8.0,5.86,46.89,68.63,344.97
7.0,1.0,8.0,5.57,44.54,108.84,323.66
8.0,1.0,8.0,5.83,46.66,67.52,319.37
10.0,1.0,8.0,5.07,40.54,51.95,249.2
