test,version,robot_count,mean_len,total_len,operation_time,total_time
,,,,,,
1.0,1.0,8.0,4.64,37.16,48.5,276.91
2.0,1.0,8.0,5.2,41.6,61.17,382.88
3.0,1.0,8.0,4.83,38.6,50.76,251.75
5.0,1.0,8.0,5.43,43.45,54.6,295.96
7.0,1.0,8.0,5.07,40.52,46.52,287.64
8.0,1.0,8.0,5.86,46.91,49.17,287.67
9.0,1.0,8.0,4.91,39.29,45.06,279.97
10.0,1.0,8.0,5.62,44.93,75.33,366.52
11.0,1.0,8.0,5.77,46.19,57.2,366.41
12.0,1.0,8.0,4.88,39.03,46.73,275.92
