robot_count,mean_len,total_len,operation_time,total_time
,,,,
1.0,7.95,7.95,40.8,40.8
2.0,3.13,6.27,19.1,35.8
3.0,7.52,22.57,41.1,119.5
4.0,7.48,29.93,42.13,156.71
5.0,7.79,38.93,44.44,204.52
6.0,7.7,46.22,45.12,258.51
7.0,6.78,47.46,45.46,264.37
8.0,6.87,54.95,48.82,289.87
9.0,6.82,61.42,49.9,329.66
10.0,6.48,64.79,53.28,353.27
11.0,7.33,80.64,53.97,458.47
12.0,7.36,88.29,58.83,483.79
13.0,7.29,94.79,57.03,532.4
14.0,7.01,98.18,59.94,538.5
15.0,7.03,105.45,62.84,605.18
