n_robots,mean_len,total_len,operation_time,total_time
1,8.42,8.42,47.8,47.8
2,7.91,15.82,59.6,107.2
3,8.02,24.07,58.45,158.88
4,8.14,32.58,61.35,224.1
5,8.06,40.3,75.6,301.54
6,7.42,44.53,67.29,303.72
7,7.21,50.46,57.18,317.05
8,6.93,55.44,64.42,379.19
9,7.57,68.15,85.35,465.87
10,7.33,73.28,77.44,535.34
11,7.14,78.59,67.94,551.06
12,7.5,90.03,69.23,617.33
13,7.82,101.65,101.66,788.19
14,7.13,99.89,87.21,710.2
15,7.58,113.69,132.08,921.32
