robot_count,mean_len,total_len,operation_time,total_time
1,8.72,8.72,65.5,65.5
2,8.29,16.59,65.3,129.5
3,8.37,25.11,66.32,194.77
4,8.25,32.99,65.55,257.01
5,7.99,39.95,69.11,312.32
6,7.7,46.23,70.7,369.08
7,7.13,49.92,74.68,395.24
8,6.98,55.87,74.85,466.19
9,7.42,66.79,90.98,589.72
10,7.27,72.74,86.97,663.92
11,7.52,82.67,108.95,784.83
12,8.08,96.92,108.23,945.53
13,7.99,103.91,106.77,1009.4
14,7.81,109.39,104.49,1120.25
15,7.66,114.9,96.09,1136.23
