robot_count,mean_len,total_len,operation_time,total_time
1,7.96,7.96,41.4,41.4
2,7.38,14.75,41.3,79.5
3,7.46,22.37,41.3,121.8
4,7.42,29.67,41.26,158.07
5,7.48,37.42,44.25,210.44
6,7.12,42.71,44.28,239.69
7,6.9,48.29,46.43,268.0
8,6.87,54.93,52.27,304.93
9,7.02,63.17,55.7,398.91
10,6.74,67.36,73.33,435.94
11,6.82,75.07,52.78,463.63
12,7.05,84.54,74.29,557.1
13,6.94,90.24,70.61,591.57
14,6.79,95.07,75.81,669.14
15,7.36,110.33,93.45,840.97
