test,version,n_robots,mean_len,total_len,operation_time,total_time
,,,,,,
1.0,1.0,8.0,5.05,40.44,39.87,226.73
2.0,1.0,8.0,4.91,39.25,42.16,227.83
3.0,1.0,8.0,5.86,46.89,38.71,268.24
4.0,1.0,8.0,5.01,40.08,35.53,222.96
5.0,1.0,8.0,6.12,48.99,48.09,295.67
6.0,1.0,8.0,5.47,43.79,37.83,240.16
7.0,1.0,8.0,4.92,39.33,45.48,221.79
8.0,1.0,8.0,5.62,44.97,41.31,248.64
9.0,1.0,8.0,4.99,39.9,34.27,240.05
10.0,1.0,8.0,5.52,44.17,53.66,266.37
11.0,1.0,8.0,5.57,44.56,43.8,264.67
12.0,1.0,8.0,5.15,41.18,31.07,228.66
